gene	disease
FLNA	Chronic intestinal pseudo-obstruction
FLNA	Congenital valvular dysplasia
FLNA	Ehlers-Danlos syndrome with periventricular heterotopia
FLNA	Frontometaphyseal dysplasia
FLNA	Osteodysplasty, Melnick-Needles type
FLNA	Otopalatodigital syndrome type 1
FLNA	Otopalatodigital syndrome type 2
FLNA	Periventricular nodular heterotopia
FLNA	Terminal osseous dysplasia - pigmentary defects
FLNB	Atelosteogenesis I
FLNB	Atelosteogenesis type III
FLNB	Boomerang dysplasia
FLNB	Larsen syndrome
FLNB	Synspondylism
FLNC	Distal myopathy with posterior leg and anterior upper limb involvement
FLNC	Muscle filaminopathy
FLT3	Acute leukemia of ambiguous lineage
FLT4	Congenital lymphedema
FLVCR1	Posterior column ataxia - retinitis pigmentosa
FLVCR2.1	Fowler syndrome
FMO3	Trimethylaminuria
FMR1	Fragile X syndrome
FMR1	Fragile X-associated tremor/ataxia syndrome
FMR1	Xq27.3q28 duplication syndrome
FN1	Fibronectin glomerulopathy
FOLR1	Neurodegenerative syndrome due to cerebral folate transport deficiency
FOXC1	Axenfeld-Rieger syndrome
FOXC1	Peters anomaly
FOXC1	Rieger-Axenfeld anomaly
FOXC2	Lymphedema - distichiasis
FOXC2	Yellow nail syndrome
FOXD3	Vitiligo-associated autoimmune disease
FOXE1	Athyreosis
FOXE1	Bamforth syndrome
FOXE1	Thyroid hypoplasia
FOXE3	Congenital primary aphakia
FOXE3	Familial ocular anterior segment mesenchymal dysgenesis
FOXF1	Congenital alveolar capillary dysplasia
FOXG1	14q11.2 microduplication syndrome
FOXG1	14q12 microdeletion syndrome
FOXG1	Atypical Rett syndrome
FOXH1	Holoprosencephaly
FOXI1	Pendred syndrome
FOXL2	Blepharophimosis - epicanthus inversus - ptosis
FOXL2	Blepharophimosis - epicanthus inversus - ptosis, due to 3q23 microdeletion
FOXN1	Severe T-cell immunodeficiency - congenital alopecia - nail dystrophy
FOXO1	Alveolar rhabdomyosarcoma
FOXP1	MALT lymphoma
FOXP2	7q31 microdeletion syndrome
FOXP2	Speech-language disorder type 1
FOXP3	X-linked immune dysregulation - polyendocrinopathy - enteropathy
FOXRED1	Isolated NADH-CoQ reductase deficiency
FRAS1	Fraser syndrome
FREM1	BNAR syndrome
FREM1	Oculotrichoanal syndrome
FREM2	Fraser syndrome
FRG1	Facioscapulohumeral dystrophy
FSCN2	Retinitis pigmentosa
FSHB	Isolated follicle stimulating hormone deficiency
FSHR	46,XX gonadal dysgenesis
FSHR	Ovarian hyperstimulation syndrome
FTCD	Formiminoglutamic aciduria
FTH1	FTH1-related iron overload
FTL	Genetic hyperferritinemia without iron overload
FTL	Hereditary hyperferritinemia with congenital cataracts
FTL	Neuroferritinopathy
FTO	Lethal polymalformative syndrome, Boissel type
FTSJ1	X-linked nonsyndromic intellectual deficit
FUBP1	Oligodendroglioma
FUCA1	Fucosidosis
FUS	Amyotrophic lateral sclerosis
FUS	Frontotemporal dementia
FUS	Myxofibrosarcoma
FUS	Myxoid liposarcoma
FXN	Friedreich ataxia
FXYD2	Isolated dominant hypomagnesemia
FYCO1	Nuclear cataract
FZD4	Familial exudative vitreoretinopathy
FZD4	Persistent hyperplastic primary vitreous
FZD4	Retinopathy of prematurity
FZD6	Autosomal recessive nail dysplasia
G6PC	Glycogenosis due to glucose-6-phosphatase deficiency type a
G6PC3	Autosomal dominant severe congenital neutropenia
G6PC3	Dursun syndrome
GAA	Glycogen storage disease type 2
GABRA1	Childhood absence epilepsy
GABRA1	Juvenile myoclonic epilepsy
GABRA3	Thyrotoxic periodic paralysis
GABRB3	Childhood absence epilepsy
GABRD	Generalized epilepsy with febrile seizures-plus context
GABRD	Monosomy 1p36
GABRG2	Childhood absence epilepsy
GABRG2	Dravet syndrome
GABRG2	Generalized epilepsy with febrile seizures-plus context
GAD1	Inherited congenital spastic tetraplegia
GALC	Adult Krabbe disease
GALC	Infantile Krabbe disease
GALC	Late-infantile or juvenile Krabbe disease
GALE	Galactosemia
GALE	UDP-galactose-4-epimerase deficiency
GALK1	Galactokinase deficiency
GALK1	Galactosemia
GALNS	Mucopolysaccharidosis type 4
GALNT3	Tumoral calcinosis
GALT	Galactosemia
GAMT	Guanidinoacetate methyltransferase deficiency
GAN	Giant axonal neuropathy
GARS	Autosomal dominant Charcot-Marie-Tooth disease type 2D
GARS	Distal hereditary motor neuropathy type 5
GATA1	Beta-thalassemia - X-linked thrombocytopenia
GATA1	Dyserythropoietic anemia with thrombocytopenia
GATA2	Monocytopenia with susceptibility to infections
GATA3	Hypoparathyroidism - deafness - renal disease
GATA4	46,XY partial gonadal dysgenesis
GATA4	Atrial septal defect, ostium secundum type
GATA4	Ventricular septal defect
GATM	Arginine:glycine amidinotransferase deficiency
GBA	Gaucher disease - ophthalmoplegia - cardiovascular calcification
GBA	Gaucher disease type 1
GBA	Gaucher disease type 2
GBA	Gaucher disease type 3
GBA	Perinatal-lethal Gaucher disease
GBE1	Adult polyglucosan body disease
GBE1	Glycogen branching enzyme deficiency
GCDH	Glutaric acidemia type 1
GCH1	Autosomal dominant dopa-responsive dystonia
GCH1	GTP cyclohydrolase I deficiency
GCK	Hyperinsulinism due to glucokinase deficiency
GCK	MODY syndrome
GCK	Permanent neonatal diabetes mellitus
GCLC	Gamma-glutamylcysteine synthetase deficiency
GCM2	Familial isolated hypoparathyroidism due to agenesis of parathyroid gland
GCSH	Isolated nonketotic hyperglycinemia
GDAP1	Autosomal dominant Charcot-Marie-Tooth disease type 2K
GDAP1	Autosomal recessive Charcot-Marie-Tooth disease with hoarseness
GDAP1	Autosomal recessive intermediate Charcot-Marie-Tooth disease type A
GDAP1	Charcot-Marie-Tooth disease type 2H
GDAP1	Charcot-Marie-Tooth disease type 4A
GDF1	Conotruncal heart malformations
GDF1	Tetralogy of Fallot
GDF3	Colobomatous microphthalmia
GDF3	Isolated Klippel-Feil syndrome
GDF3	Isolated anophthalmia - microphthalmia
GDF5	Acromesomelic dysplasia, Grebe type
GDF5	Acromesomelic dysplasia, Hunter-Thomson type
GDF5	Brachydactyly type A2
GDF5	Brachydactyly type C
GDF5	Fibular aplasia - complex brachydactyly
GDF5	Multiple synostoses
GDF5	Proximal symphalangism
GDF6	Colobomatous microphthalmia
GDF6	Isolated Klippel-Feil syndrome
GDI1	X-linked nonsyndromic intellectual deficit
GDNF	Hirschsprung disease
GDNF	Ondine syndrome
GFAP	Alexander disease
GFI1	Adult  idiopathic neutropenia
GFI1	Autosomal dominant severe congenital neutropenia
GFM1	Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1
GFPT1	Congenital myasthenic syndromes
GGCX	Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency
GGCX	Hereditary combined deficiency of vitamin K-dependent clotting factors
GGT1	Gamma-glutamyl transpeptidase deficiency
GH1	Isolated growth hormone deficiency type IA
GH1	Isolated growth hormone deficiency type IB
GH1	Isolated growth hormone deficiency type II
GH1	Short stature due to growth hormone qualitative anomaly
GHR	Laron syndrome
GHRHR	Isolated growth hormone deficiency type IB
GHSR	Isolated growth hormone deficiency type IB
GIF	Congenital intrinsic factor deficiency
GIGYF2	Young adult-onset Parkinsonism
GIPC3	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
GJA1	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
GJA1	Hypoplastic left heart syndrome
GJA1	Oculodentodigital dysplasia
GJA1	Syndactyly type 3
GJA3	Pulverulent cataract
GJA5	Atrial cardiomyopathy with heart block
GJA5	Familial atrial fibrillation
GJA8	Cataract-microcornea syndrome
GJA8	Pulverulent cataract
GJB1	X-linked Charcot-Marie-Tooth disease type 1
GJB2	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
GJB2	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
GJB2	KID syndrome
GJB2	Keratoderma hereditarium mutilans
GJB2	Knuckle pads - leuconychia - sensorineural deafness
GJB2	Palmoplantar keratoderma - deafness
GJB3	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
GJB3	Erythrokeratodermia variabilis, Mendes da Costa type
GJB3	Greither's disease
GJB3	Neuropathy with hearing impairment
GJB4	Erythrokeratodermia variabilis, Mendes da Costa type
GJB6	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
GJB6	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
GJB6	Clouston syndrome
GJB6	KID syndrome
GJC2	Congenital lymphedema
GJC2	Pelizaeus-Merzbacher-like due to GJC2 mutation
GLA	Fabry disease
GLB1	GM1 gangliosidosis type 1
GLB1	GM1 gangliosidosis type 2
GLB1	GM1 gangliosidosis type 3
GLB1	Mucopolysaccharidosis type 4
GLDC	Isolated nonketotic hyperglycinemia
GLE1	Lethal arthrogryposis - anterior horn cell disease
GLE1	Lethal congenital contracture syndrome type 1
GLI2	Combined pituitary hormone deficiencies, genetic forms
GLI2	Holoprosencephaly
GLI3	Acrocallosal syndrome
GLI3	Greig cephalopolysyndactyly syndrome
GLI3	Pallister-Hall syndrome
GLI3	Polysyndactyly
GLI3	Postaxial polydactyly  type B
GLI3	Postaxial polydactyly type A
GLIS2	Juvenile autosomal recessive medullary cystic kidney disease
GLIS3	Neonatal diabetes - congenital hypothyroidism - congenital glaucoma - hepatic fibrosis - polycystic kidneys
GLMN	Glomuvenous malformation
GLRA1	Hereditary hyperekplexia
GLRB	Hereditary hyperekplexia
GLRX5	Autosomal recessive pyridoxine-refractory sideroblastic anemia
GLUD1	Hyperinsulinism-hyperammonemia syndrome
GLUL	Congenital brain dysgenesis due to glutamine synthetase deficiency
GLYCTK	D-glycericacidemia
GM2A	Tay-Sachs disease
GNAS	Fibrous dysplasia of bone
GNAS	McCune-Albright syndrome
GNAS	Progressive osseous heteroplasia
GNAS	Pseudohypoparathyroidism type 1A
GNAS	Pseudohypoparathyroidism type 1B
GNAS	Pseudohypoparathyroidism type 1C
GNAS	Pseudopseudohypoparathyroidism
GNAT1	Congenital stationary night blindness
GNAT2	Achromatopsia
GNAT2	Progressive cone dystrophy
GNE	Distal myopathy, Nonaka type
GNE	Sialuria, French type
GNPAT	Rhizomelic chondrodysplasia punctata
GNPTAB	Mucolipidosis type 2
GNPTAB	Mucolipidosis type 3
GNPTG	Mucolipidosis type 3
GNRH1	Normosmic congenital hypogonadotropic hypogonadism
GNRHR	Normosmic congenital hypogonadotropic hypogonadism
GNS	Sanfilippo syndrome type D
GOLGA5	Papillary or follicular thyroid carcinoma
GORAB	Geroderma osteodysplastica
GOSR2	Progressive myoclonic epilepsy type 6
GP1BA	Bernard-Soulier syndrome
GP1BA	Pseudo-Von Willebrand disease
GP1BB	Bernard-Soulier syndrome
GP6	Bleeding diathesis due to glycoprotein VI deficiency
GP9	Bernard-Soulier syndrome
GPC3	Nephroblastoma
GPC3	Simpson-Golabi-Behmel syndrome
GPC4	Simpson-Golabi-Behmel syndrome
GPC6	Autosomal recessive omodysplasia
GPD1L	Brugada syndrome
GPHN	Encephalopathy due to sulfite oxidase deficiency
GPHN	Hereditary hyperekplexia
GPI	Hemolytic anemia due to glucophosphate isomerase deficiency
GPIHBP1	Hyperlipoproteinemia type 1
GPIHBP1	Hyperlipoproteinemia type 5
GPR143	X-linked recessive ocular albinism
GPR56	Bilateral frontoparietal polymicrogyria
GPR98	Usher syndrome type 2
GPSM2	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
GRHL2	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
GRHPR	D-glycerate dehydrogenase deficiency
GRIA3	X-linked nonsyndromic intellectual deficit
GRIK2	Autosomal recessive nonsyndromic intellectual deficit
GRIN1	Autosomal dominant nonsyndromic intellectual deficit
GRIN2B	Autosomal dominant nonsyndromic intellectual deficit
GRK1	Oguchi disease
GRM6	Congenital stationary night blindness
GRN	Frontotemporal dementia with motor neuron disease
GRXCR1	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
GSN	Familial amyloidosis, Finnish type
GSR	Hemolytic anemia due to glutathione reductase deficiency
GSS	Glutathione synthetase deficiency
GTF2H5	IBIDS syndrome
GTF2H5	PIBIDS syndrome
GTF2I	Williams syndrome
GTF2IRD1	Williams syndrome
GUCA1A	Cone rod dystrophy
GUCA1A	Progressive cone dystrophy
GUCA1B	Retinitis pigmentosa
GUCY2D	Cone rod dystrophy
GUCY2D	Congenital Leber amaurosis
GUSB	Mucopolysaccharidosis type 7
GYG1	Glycogen storage disease type 15
GYS1	Cardiomyopathy-exercise intolerance due to muscle and heart glycogen deficiency
GYS2	Hepatic glycogen synthase deficiency
H6PD	Hyperandrogenism due to cortisone reductase deficiency
HADH	Hyperinsulinism due to 3-hydroxylacyl-CoA dehydrogenase deficiency
HADH	Hyperinsulinism due to glutamodehydrogenase deficiency
HADHA	Acute fatty liver of pregnancy
HADHA	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
HADHA	Mitochondrial trifunctional protein deficiency
HADHB	Mitochondrial trifunctional protein deficiency
HAL	Histidinemia
HAMP	Hemochromatosis type 2
HARS2	Perrault syndrome
HAX1	Kostmann syndrome
HBA1	Alpha thalassemia - intellectual deficit syndrome
HBA1	Hemoglobin H disease
HBA1	Hydrops fetalis of Bart
HBA2	Alpha thalassemia - intellectual deficit syndrome
HBA2	Hemoglobin H disease
HBA2	Hydrops fetalis of Bart
HBB	Beta-thalassemia intermedia
HBB	Beta-thalassemia major
HBB	Delta-beta thalassemia
HBB	Dominant beta-thalassemia
HBB	Heinz body anemia
HBB	Hemoglobin C disease
HBB	Hemoglobin E disease
HBB	Hereditary persistence of fetal hemoglobin - beta-thalassemia
HBB	Hereditary persistence of fetal hemoglobin - sickle cell disease
HBB	Sickle cell - beta-thalassemia disease
HBB	Sickle cell - hemoglobin C disease
HBB	Sickle cell - hemoglobin D disease
HBB	Sickle cell - hemoglobin E disease
HBB	Sickle cell anemia
HBD	Delta-beta thalassemia
HBG1	Delta-beta thalassemia
HBG1	Hereditary persistence of fetal hemoglobin - beta-thalassemia
HBG1	Hereditary persistence of fetal hemoglobin - sickle cell disease
HBG2	Hemoglobinopathy Toms River
HBG2	Hereditary persistence of fetal hemoglobin - beta-thalassemia
HBG2	Hereditary persistence of fetal hemoglobin - sickle cell disease
HBZ	Hemoglobin H disease
HBZ	Hydrops fetalis of Bart
HCCS	MIDAS syndrome
HCN4	Brugada syndrome
HCN4	Sick sinus syndrome
HCRT	Narcolepsy-cataplexy
HDAC4	2q37 microdeletion syndrome
HDAC6	X-linked dominant chondrodysplasia, Chassaing-Lacombe type
HDAC9	Peters anomaly
HEPACAM	Megalencephalic leukoencephalopathy with subcortical cysts
HES7	Autosomal recessive spondylocostal dysostosis
HESX1	Combined pituitary hormone deficiencies, genetic forms
HESX1	Hypothyroidism due to deficient transcription factors involved in pituitary development or function
HESX1	Pituitary stalk interruption syndrome
HESX1	Septo-optic dysplasia
HEXA	Tay-Sachs disease
HEXB	Sandhoff disease
HFE	Porphyria variegata
HFE2	Hemochromatosis type 2
HGD	Alkaptonuria
HGF	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
HGSNAT	Sanfilippo syndrome type C
HIBCH	Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency
HIC1	Miller-Dieker syndrome
HK1	Charcot-Marie-Tooth disease type 4G
HK1	Nonspherocytic hemolytic anemia due to hexokinase deficiency
HLA-A	Chorioretinopathy, Birdshot type
HLA-B	Behcet disease
HLA-B	Stevens-Johnson syndrome
HLA-DRA	Graham Little-Piccardi-Lassueur syndrome
HLA-DRB1	Narcolepsy-cataplexy
HLA-DRB1	Sarcoidosis
HLCS	Holocarboxylase synthetase deficiency
HLF	Precursor B-cell acute lymphoblastic leukemia
HMBS	Acute intermittent porphyria
HMGA2	12q14 microdeletion syndrome
HMGCL	3-hydroxy-3-methylglutaric aciduria
HMGCS2	3-hydroxy 3-methylglutaryl-CoA synthase deficiency
HMX1	Oculoauricular syndrome, Schorderet type
HNF1A	MODY syndrome
HNF1B	17q12 microdeletion syndrome
HNF1B	Familial prostate cancer
HNF1B	Mullerian aplasia
HNF1B	Renal cysts and diabetes syndrome
HNF4A	Hyperinsulinism due to HNF4A deficiency
HNF4A	MODY syndrome
HOGA1	Hyperoxaluria non1-non2 type
HOXA1	Athabaskan brainstem dysgenesis syndrome
HOXA1	Bosley-Salih-Alorainy syndrome
HOXA11	Radio-ulnar synostosis - amegakaryocytic thrombocytopenia
HOXA13	Guttmacher syndrome
HOXA13	Hand-foot-genital syndrome
HOXA2	Anotia
HOXA2	Bilateral microtia - deafness - cleft palate
HOXD10	Isolated congenital vertical talus
HOXD13	Brachydactyly type E
HOXD13	Brachydactyly-syndactyly, Zhao type
HOXD13	Syndactyly type 2
HOXD13	Syndactyly type 5
HOXD13	VACTERL/VATER association
HPD	Hawkinsinuria
HPD	Tyrosinemia type 3
HPGD	Cranio-osteoarthropathy
HPGD	Isolated congenital digital clubbing
HPGD	Pachydermoperiostosis
HPRT1	Kelley-Seegmiller syndrome
HPRT1	Lesch-Nyhan syndrome
HPS1	Hermansky-Pudlak syndrome with pulmonary fibrosis
HPS3	Hermansky-Pudlak syndrome without pulmonary fibrosis
HPS4	Hermansky-Pudlak syndrome with pulmonary fibrosis
HPS5	Hermansky-Pudlak syndrome without pulmonary fibrosis
HPS6	Hermansky-Pudlak syndrome without pulmonary fibrosis
HPSE2	Ochoa syndrome
HR	Alopecia universalis
HR	Atrichia with papular lesions
HR	Marie Unna congenital hypotrichosis
HRAS	Costello syndrome
HRG	Hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency
HS6ST1	Kallmann syndrome
HS6ST1	Normosmic congenital hypogonadotropic hypogonadism
HSD11B1	Hyperandrogenism due to cortisone reductase deficiency
HSD11B2	Apparent mineralocorticoid excess
HSD17B10	Intellectual deficit, X-linked - choreoathetosis - abnormal behavior
HSD17B10	Short chain 3-hydroxyacyl-CoA dehydrogenase deficiency
HSD17B3	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency
HSD17B3	Familial prostate cancer
HSD17B4	Bifunctional enzyme deficiency
HSD17B4	Perrault syndrome
HSD17B4	Pseudo-Zellweger syndrome
HSD17B4	Zellweger syndrome
HSD3B2	Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency
HSD3B2	Familial prostate cancer
HSD3B7	Congenital bile acid synthesis defect type 1
HSF4	Zonular cataract
HSPB1	Autosomal dominant Charcot-Marie-Tooth disease type 2F
HSPB1	Distal hereditary motor neuropathy type 2
HSPB3	Distal hereditary motor neuropathy type 2
HSPB8	Autosomal dominant Charcot-Marie-Tooth disease type 2L
HSPB8	Distal hereditary motor neuropathy type 2
HSPBAP1	Familial renal cell carcinoma
HSPD1	Autosomal dominant spastic paraplegia type 13
HSPD1	Pelizaeus-Merzbacher-like due to HSPD1 mutation
HSPG2	Dyssegmental dysplasia, Silverman-Handmaker type
HSPG2	Schwartz-Jampel syndrome
HTRA1	CARASIL syndrome
HTRA2	Young adult-onset Parkinsonism
HTT	Huntington disease
HTT	Juvenile Huntington disease
HUWE1	Intellectual deficit, X-linked, Turner type
HYAL1	Hyaluronidase deficiency
HYLS1	Hydrolethalus
ICAM1	Chronic mucocutaneous candidiasis
ICK	Endocrine-cerebro-osteodysplasia syndrome
ICOS	Common variable immunodeficiency due to an intrinsic T cell defect
IDH2	2-hydroxyglutaricaciduria
IDH3B	Retinitis pigmentosa
IDS	Mucopolysaccharidosis type 2A
IDS	Mucopolysaccharidosis type 2B
IDUA	Hurler syndrome
IDUA	Hurler-Scheie syndrome
IDUA	Scheie syndrome
IER3IP1	Wolcott-Rallison syndrome
IFNG	Idiopathic aplastic anemia
IFNGR1	Mendelian susceptibility to atypical mycobacteria
IFNGR2	Mendelian susceptibility to atypical mycobacteria
IFRD1	Spinocerebellar ataxia type 18
IFT122	Sensenbrenner syndrome
IFT43	Sensenbrenner syndrome
IFT80	Jeune syndrome
IFT80	Short rib-polydactyly syndrome, Verma-Naumoff type
IGBP1	Agenesis of the corpus callosum - intellectual deficit - coloboma - micrognathia
IGF1	Growth delay due to insulin-like growth factor I deficiency
IGF1R	Growth delay due to insulin-like growth factor I resistance
IGF2	Beckwith-Wiedemann syndrome due to imprinting defect of 11p15
IGF2	Hemihypertrophy
IGF2	Silver-Russell syndrome due to 11p15 microduplication
IGF2	Silver-Russell syndrome due to imprinting defect of 11p15
IGFALS	Short stature due to primary acid-labile subunit deficiency
IGFBP7	Familial retinal arterial macroaneurysm
IGHG1	Chronic B-cell lymphocytic leukemia
IGHG1	Primary amyloidosis
IGHG2	Recurrent infections associated with rare immunoglobulin isotypes deficiency
IGHM	Autosomal agammaglobulinemia
IGHMBP2	Spinal muscular atrophy with respiratory distress
IGHV3-23	Chronic B-cell lymphocytic leukemia
IGKC	Recurrent infections associated with rare immunoglobulin isotypes deficiency
IGKV1D-39	Recurrent infections associated with rare immunoglobulin isotypes deficiency
IGKV2D-40	Recurrent infections associated with rare immunoglobulin isotypes deficiency
IGLL1	Autosomal agammaglobulinemia
IHH	Acrocapitofemoral dysplasia
IHH	Brachydactyly type A1
IKBKAP	Familial dysautonomia
IKBKG	Anhidrotic ectodermal dysplasia - immunodeficiency - osteopetrosis - lymphedema
IKBKG	Hypohidrotic ectodermal dysplasia with immunodeficiency
IKBKG	Incontinentia pigmenti
IKBKG	Mendelian susceptibility to atypical mycobacteria
IL10	Behcet disease
IL10RA	Autosomal recessive early-onset inflammatory bowel disease
IL10RB	Autosomal recessive early-onset inflammatory bowel disease
IL11RA	Craniosynostosis and dental anomalies
IL12A	Primary biliary cirrhosis
IL12B	Mendelian susceptibility to atypical mycobacteria
IL12RB1	Mendelian susceptibility to atypical mycobacteria
IL12RB1	Primary biliary cirrhosis
IL12RB2	Behcet disease
IL17F	Chronic mucocutaneous candidiasis
IL17RA	Chronic mucocutaneous candidiasis
IL1RAPL1	X-linked nonsyndromic intellectual deficit
IL1RN	Autoinflammatory disease due to interleukin-1 receptor antagonist deficiency
IL23R	Behcet disease
IL28B	Response to polyethylene glycol/interferon-ribavirin in hepatitis C virus
IL2RA	Immunodeficiency due to CD25 deficiency
IL2RG	Severe combined immunodeficiency T- B+ due to gamma chain deficiency
IL31RA	Lichen amyloidosis
IL36RN	Generalized pustular psoriasis
IL6	Idiopathic juvenile-onset systemic arthritis
IL7R	Severe combined immunodeficiency T- B+ due to IL-7Ralpha deficiency
ILDR1	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
IMPAD1	Chondrodysplasia with joint dislocations, gPAPP type
IMPDH1	Congenital Leber amaurosis
IMPDH1	Retinitis pigmentosa
IMPG2	Retinitis pigmentosa
INF2	Familial idiopathic steroid-resistant nephrotic syndrome with focal segmental hyalinosis
ING1	Squamous cell carcinoma of head and neck
ING3	Squamous cell carcinoma of head and neck
INPP5E	Joubert syndrome
INPP5E	MORM syndrome
INS	MODY syndrome
INS	Permanent neonatal diabetes mellitus
INSR	Hyperinsulinism due to INSR deficiency
INSR	Insulin-resistance syndrome type A
INSR	Leprechaunism
INSR	Rabson-Mendenhall syndrome
INVS	Autosomal recessive medullary cystic kidney disease
IQCB1	Senior-Loken syndrome
IQSEC2	X-linked nonsyndromic intellectual deficit
IRAK4	Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency
IRF5	Primary biliary cirrhosis
IRF6	Autosomal dominant popliteal pterygium syndrome
IRF6	Van Der Woude syndrome
ISCU	Aconitase deficiency
ITCH	Syndromic multisystem autoimmune disease due to Itch deficiency
ITGA2	Fetal and neonatal alloimmune thrombocytopenia
ITGA2B	Glanzmann thrombasthenia
ITGA6	Junctional epidermolysis bullosa - pyloric atresia
ITGA7	Congenital muscular dystrophy with integrin deficiency
ITGB2	Leukocyte adhesion deficiency type I
ITGB3	Autosomal dominant macrothrombocytopenia
ITGB3	Glanzmann thrombasthenia
ITGB4	Epidermolysis bullosa simplex, Weber-Cockayne type
ITGB4	Generalized junctional epidermolysis bullosa, non-Herlitz type
ITGB4	Junctional epidermolysis bullosa - pyloric atresia
ITK	Autosomal recessive lymphoproliferative disease
ITM2B	Familial dementia, British type
ITM2B	Familial dementia, Danish type
ITPA	Susceptibility to adverse reaction due to mercaptopurine
ITPR1	Spinocerebellar ataxia type 15
ITPR1	Spinocerebellar ataxia type 16
IVD	Isovaleric acidemia
IYD	Familial thyroid dyshormonogenesis
J01415.24	Kearns-Sayre syndrome
JAG1	Alagille syndrome due to 20p12 microdeletion
JAG1	Alagille syndrome due to a JAG1 point mutation
JAG1	Tetralogy of Fallot
JAK2	Budd-Chiari syndrome
JAK2	Essential thrombocythemia
JAK2	Myelofibrosis with myeloid metaplasia
JAK2	Polycythemia vera
JAK3	Severe combined immunodeficiency T- B+ due to JAK3 deficiency
JPH3	Huntington disease-like 2
JUP	Familial isolated arrhythmogenic right ventricular dysplasia
JUP	Naxos disease
KAL1	Kallmann syndrome
KANK1	Familial congenital palsy of trochlear nerve
KANK1	Inherited congenital spastic tetraplegia
KARS	Autosomal recessive intermediate Charcot-Marie-Tooth disease type B
KBTBD13	Nemaline myopathy
KCNA1	Episodic ataxia type 1
KCNA1	Hereditary continuous muscle fiber activity
KCNA1	Isolated autosomal dominant hypomagnesemia, Glaudemans type
KCNA5	Familial atrial fibrillation
KCNC3	Spinocerebellar ataxia type 13
KCNE1	Jervell and Lange-Nielsen syndrome
KCNE1	Romano-Ward syndrome
KCNE1L	Alport syndrome - intellectual deficit - midface hypoplasia - elliptocytosis
KCNE2	Familial atrial fibrillation
KCNE2	Romano-Ward syndrome
KCNE3	Brugada syndrome
KCNE3	Hypokalemic periodic paralysis
KCNH2	Familial short QT syndrome
KCNH2	Romano-Ward syndrome
KCNJ1	Antenatal Bartter syndrome
KCNJ10	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
KCNJ10	SeSAME syndrome
KCNJ11	Autosomal recessive hyperinsulinism due to Kir6.2 deficiency
KCNJ11	DEND syndrome
KCNJ11	Permanent neonatal diabetes mellitus
KCNJ11	Transient neonatal diabetes mellitus
KCNJ13	Congenital Leber amaurosis
KCNJ13	Snowflake vitreoretinal degeneration
KCNJ2	Cardiodysrythmic potassium-sensitive periodic paralysis
KCNJ2	Familial atrial fibrillation
KCNJ2	Familial short QT syndrome
KCNJ5	Familial hyperaldosteronism type 3
KCNJ5	Romano-Ward syndrome
KCNK9	Intellectual deficit, Birk-Barel type
KCNMA1	Generalized Epilepsy - paroxysmal dyskinesia
KCNQ1	Familial atrial fibrillation
KCNQ1	Familial short QT syndrome
KCNQ1	Jervell and Lange-Nielsen syndrome
KCNQ1	Romano-Ward syndrome
KCNQ2	Benign familial infantile seizures
KCNQ2	Benign familial neonatal seizures
KCNQ2	Early infantile epileptic encephalopathy
KCNQ3	Benign familial neonatal seizures
KCNQ3	Juvenile myoclonic epilepsy
KCNQ4	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
KCNV2	Cone dystrophy with supernormal rod response
KCTD7	Progressive myoclonic epilepsy type 3
KDM5C	Syndromic X-linked intellectual deficit due to JARID1C mutation
KDR	Familial capillary hemangioma
KERA	Congenital cornea plana
KHK	Fructosuria
KIAA0196	Autosomal dominant spastic paraplegia type 8
KIAA1033	Autosomal recessive nonsyndromic intellectual deficit
KIAA1279	Goldberg-Shprintzen megacolon syndrome
KIAA2022	Intellectual deficit, X-linked, Cantagrel type
KIF1A	Autosomal dominant nonsyndromic intellectual deficit
KIF1A	Autosomal recessive spastic paraplegia type 30
KIF1A	Hereditary sensory and autonomic neuropathy type 2
KIF1B	Autosomal dominant Charcot-Marie-Tooth disease type 2A1
KIF21A	Congenital fibrosis of extraocular muscles
KIF5A	Autosomal dominant spastic paraplegia type 10
KIF7	Acrocallosal syndrome
KIF7	Hydrolethalus
