Approved Symbol	Gene family description
PCDHA5	"Cadherins / Protocadherins : Clustered"
PCDHA6	"Cadherins / Protocadherins : Clustered"
PCDHA7	"Cadherins / Protocadherins : Clustered"
PCDHA8	"Cadherins / Protocadherins : Clustered"
PCDHA9	"Cadherins / Protocadherins : Clustered"
PCDHA10	"Cadherins / Protocadherins : Clustered"
PCDHA11	"Cadherins / Protocadherins : Clustered"
PCDHA12	"Cadherins / Protocadherins : Clustered"
PCDHA13	"Cadherins / Protocadherins : Clustered"
PCDHA14	"Cadherins / Protocadherins : Clustered"
PCDHA@	"Cadherins / Protocadherins : Clustered"
PCDHAC1	"Cadherins / Protocadherins : Clustered"
PCDHAC2	"Cadherins / Protocadherins : Clustered"
PCDHACT	"Cadherins / Protocadherins : Clustered"
PCDHB1	"Cadherins / Protocadherins : Clustered"
PCDHB2	"Cadherins / Protocadherins : Clustered"
PCDHB3	"Cadherins / Protocadherins : Clustered"
PCDHB4	"Cadherins / Protocadherins : Clustered"
PCDHB5	"Cadherins / Protocadherins : Clustered"
PCDHB6	"Cadherins / Protocadherins : Clustered"
PCDHB7	"Cadherins / Protocadherins : Clustered"
PCDHB8	"Cadherins / Protocadherins : Clustered"
PCDHB9	"Cadherins / Protocadherins : Clustered"
PCDHB10	"Cadherins / Protocadherins : Clustered"
PCDHB11	"Cadherins / Protocadherins : Clustered"
PCDHB12	"Cadherins / Protocadherins : Clustered"
PCDHB13	"Cadherins / Protocadherins : Clustered"
PCDHB14	"Cadherins / Protocadherins : Clustered"
PCDHB15	"Cadherins / Protocadherins : Clustered"
PCDHB16	"Cadherins / Protocadherins : Clustered"
PCDHB17	"Cadherins / Protocadherins : Clustered"
PCDHB18	"Cadherins / Protocadherins : Clustered"
PCDHB19P	"Cadherins / Protocadherins : Clustered"
PCDHB@	"Cadherins / Protocadherins : Clustered"
PCDHG@	"Cadherins / Protocadherins : Clustered"
PCDHGA1	"Cadherins / Protocadherins : Clustered"
PCDHGA2	"Cadherins / Protocadherins : Clustered"
PCDHGA3	"Cadherins / Protocadherins : Clustered"
PCDHGA4	"Cadherins / Protocadherins : Clustered"
PCDHGA5	"Cadherins / Protocadherins : Clustered"
PCDHGA6	"Cadherins / Protocadherins : Clustered"
PCDHGA7	"Cadherins / Protocadherins : Clustered"
PCDHGA8	"Cadherins / Protocadherins : Clustered"
PCDHGA9	"Cadherins / Protocadherins : Clustered"
PCDHGA10	"Cadherins / Protocadherins : Clustered"
PCDHGA11	"Cadherins / Protocadherins : Clustered"
PCDHGA12	"Cadherins / Protocadherins : Clustered"
PCDHGB1	"Cadherins / Protocadherins : Clustered"
PCDHGB2	"Cadherins / Protocadherins : Clustered"
PCDHGB3	"Cadherins / Protocadherins : Clustered"
PCDHGB4	"Cadherins / Protocadherins : Clustered"
PCDHGB5	"Cadherins / Protocadherins : Clustered"
PCDHGB6	"Cadherins / Protocadherins : Clustered"
PCDHGB7	"Cadherins / Protocadherins : Clustered"
PCDHGB8P	"Cadherins / Protocadherins : Clustered"
PCDHGB9P	"Cadherins / Protocadherins : Clustered"
PCDHGC3	"Cadherins / Protocadherins : Clustered"
PCDHGC4	"Cadherins / Protocadherins : Clustered"
PCDHGC5	"Cadherins / Protocadherins : Clustered"
PCDHGCT	"Cadherins / Protocadherins : Clustered"
PCGEM1	"ncRNAs / Long non-coding RNAs"
PCGF1	"RING-type zinc fingers", "Polycomb group ring fingers"
PCGF2	"RING-type zinc fingers", "Polycomb group ring fingers"
PCGF3	"RING-type zinc fingers", "Polycomb group ring fingers"
PCGF5	"RING-type zinc fingers", "Polycomb group ring fingers"
PCGF6	"RING-type zinc fingers", "Polycomb group ring fingers"
PCGF7P	"RING-type zinc fingers", "Polycomb group ring fingers"
PCNA-AS1	"ncRNAs / Long non-coding RNAs"
PCTP	"StAR-related lipid transfer (START) domain containing"
PCYT1B-AS1	"ncRNAs / Long non-coding RNAs"
PDCD1	"CD molecules"
PDCD1LG2	"CD molecules"
PDCD2	"Zinc fingers, MYND-type"
PDE1A	"Phosphodiesterases"
PDE1B	"Phosphodiesterases"
PDE1C	"Phosphodiesterases"
PDE2A	"Phosphodiesterases"
PDE3A	"Phosphodiesterases"
PDE3B	"Phosphodiesterases"
PDE4A	"Phosphodiesterases"
PDE4B	"Phosphodiesterases"
PDE4C	"Phosphodiesterases"
PDE4D	"Phosphodiesterases"
PDE5A	"Phosphodiesterases"
PDE6A	"Phosphodiesterases"
PDE6B	"Phosphodiesterases"
PDE6C	"Phosphodiesterases"
PDE6D	"Phosphodiesterases"
PDE6G	"Phosphodiesterases"
PDE6H	"Phosphodiesterases"
PDE7A	"Phosphodiesterases"
PDE7B	"Phosphodiesterases"
PDE8A	"Phosphodiesterases"
PDE8B	"Phosphodiesterases"
PDE9A	"Phosphodiesterases"
PDE10A	"Phosphodiesterases"
PDE11A	"Phosphodiesterases"
PDGFRA	"CD molecules"
PDGFRB	"CD molecules"
PDIA2	"Protein disulfide isomerases"
PDIA3	"Protein disulfide isomerases"
PDIA4	"Protein disulfide isomerases"
PDIA5	"Protein disulfide isomerases"
PDIA6	"Protein disulfide isomerases"
PDILT	"Protein disulfide isomerases"
PDP1	"Protein phosphatase, Mg2+/Mn2+ dependent"
PDP2	"Protein phosphatase, Mg2+/Mn2+ dependent"
PDX1	"Homeoboxes / ANTP class : HOXL subclass"
PDX1-AS1	"ncRNAs / Long non-coding RNAs"
PDZK1IP1-AS1	"ncRNAs / Long non-coding RNAs"
PDZRN3	"RING-type zinc fingers"
PDZRN3-AS1	"ncRNAs / Long non-coding RNAs"
PDZRN4	"RING-type zinc fingers"
PECAM1	"CD molecules"
PECR	"Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1"
PEG3	"Zinc fingers, C2H2 and SCAN domain containing"
PEG3-AS1	"ncRNAs / Long non-coding RNAs"
PELI1	"Pellino homologs"
PELI2	"Pellino homologs"
PELI3	"Pellino homologs"
PEX1	"ATPases / AAA-type"
PEX2	"RING-type zinc fingers"
PEX5L-AS1	"ncRNAs / Long non-coding RNAs"
PEX5L-AS2	"ncRNAs / Long non-coding RNAs"
PEX6	"ATPases / AAA-type"
PEX10	"RING-type zinc fingers"
PHEX-AS1	"ncRNAs / Long non-coding RNAs"
PHF1	"PHD-type zinc fingers"
PHF2	"PHD-type zinc fingers", "Chromatin-modifying enzymes / K-demethylases"
PHF3	"PHD-type zinc fingers"
PHF4~withdrawn	"PHD-type zinc fingers"
PHF5A	"PHD-type zinc fingers"
PHF6	"PHD-type zinc fingers"
PHF7	"PHD-type zinc fingers"
PHF8	"PHD-type zinc fingers", "Chromatin-modifying enzymes / K-demethylases"
PHF10	"PHD-type zinc fingers"
PHF10P1	"PHD-type zinc fingers"
PHF11	"PHD-type zinc fingers"
PHF12	"PHD-type zinc fingers"
PHF13	"PHD-type zinc fingers"
PHF14	"PHD-type zinc fingers"
PHF15	"PHD-type zinc fingers"
PHF16	"PHD-type zinc fingers"
PHF17	"PHD-type zinc fingers"
PHF19	"PHD-type zinc fingers"
PHF20	"PHD-type zinc fingers"
PHF21A	"PHD-type zinc fingers"
PHF21B	"PHD-type zinc fingers"
PHF23	"PHD-type zinc fingers"
PHIP	"WD repeat domain containing", "DDB1 and CUL4 associated factors"
PHKA1-AS1	"ncRNAs / Long non-coding RNAs"
PHLPP1	"Protein phosphatase, Mg2+/Mn2+ dependent"
PHLPP2	"Protein phosphatase, Mg2+/Mn2+ dependent"
PHOX2A	"Homeoboxes / PRD class"
PHOX2B	"Homeoboxes / PRD class"
PHRF1	"RING-type zinc fingers"
PIAS1	"-"
PIAS2	"-"
PIAS3	"-"
PIAS4	"-"
PIK3C2A	"Phosphoinositide 3-kinases"
PIK3C2B	"Phosphoinositide 3-kinases"
PIK3C2G	"Phosphoinositide 3-kinases"
PIK3C3	"Phosphoinositide 3-kinases"
PIK3CA	"Phosphoinositide 3-kinases"
PIK3CB	"Phosphoinositide 3-kinases"
PIK3CD	"Phosphoinositide 3-kinases"
PIK3CG	"Phosphoinositide 3-kinases"
PIK3R1	"Phosphoinositide 3-kinases"
PIK3R2	"Phosphoinositide 3-kinases"
PIK3R3	"Phosphoinositide 3-kinases"
PIK3R4	"Phosphoinositide 3-kinases"
PIK3R5	"Phosphoinositide 3-kinases"
PIK3R6	"Phosphoinositide 3-kinases"
PINK1	"Parkinson disease"
PINK1-AS	"ncRNAs / Long non-coding RNAs"
PIPSL	"Proteasome (prosome, macropain) subunits"
PIRC1	"ncRNAs / Piwi-interacting RNA clusters"
PIRC2	"ncRNAs / Piwi-interacting RNA clusters"
PIRC3	"ncRNAs / Piwi-interacting RNA clusters"
PIRC4	"ncRNAs / Piwi-interacting RNA clusters"
PIRC5	"ncRNAs / Piwi-interacting RNA clusters"
PIRC6	"ncRNAs / Piwi-interacting RNA clusters"
PIRC7	"ncRNAs / Piwi-interacting RNA clusters"
PIRC8	"ncRNAs / Piwi-interacting RNA clusters"
PIRC9	"ncRNAs / Piwi-interacting RNA clusters"
PIRC10	"ncRNAs / Piwi-interacting RNA clusters"
PIRC11	"ncRNAs / Piwi-interacting RNA clusters"
PIRC12	"ncRNAs / Piwi-interacting RNA clusters"
PIRC13	"ncRNAs / Piwi-interacting RNA clusters"
PIRC14	"ncRNAs / Piwi-interacting RNA clusters"
PIRC15	"ncRNAs / Piwi-interacting RNA clusters"
PIRC16	"ncRNAs / Piwi-interacting RNA clusters"
PIRC17	"ncRNAs / Piwi-interacting RNA clusters"
PIRC18	"ncRNAs / Piwi-interacting RNA clusters"
PIRC19	"ncRNAs / Piwi-interacting RNA clusters"
PIRC20	"ncRNAs / Piwi-interacting RNA clusters"
PIRC21	"ncRNAs / Piwi-interacting RNA clusters"
PIRC22	"ncRNAs / Piwi-interacting RNA clusters"
PIRC23	"ncRNAs / Piwi-interacting RNA clusters"
PIRC24	"ncRNAs / Piwi-interacting RNA clusters"
PIRC25	"ncRNAs / Piwi-interacting RNA clusters"
PIRC26	"ncRNAs / Piwi-interacting RNA clusters"
PIRC27	"ncRNAs / Piwi-interacting RNA clusters"
PIRC28	"ncRNAs / Piwi-interacting RNA clusters"
PIRC29	"ncRNAs / Piwi-interacting RNA clusters"
PIRC30	"ncRNAs / Piwi-interacting RNA clusters"
PIRC31	"ncRNAs / Piwi-interacting RNA clusters"
PIRC32	"ncRNAs / Piwi-interacting RNA clusters"
PIRC33	"ncRNAs / Piwi-interacting RNA clusters"
PIRC34	"ncRNAs / Piwi-interacting RNA clusters"
PIRC35	"ncRNAs / Piwi-interacting RNA clusters"
PIRC36	"ncRNAs / Piwi-interacting RNA clusters"
PIRC37	"ncRNAs / Piwi-interacting RNA clusters"
PIRC38	"ncRNAs / Piwi-interacting RNA clusters"
PIRC39	"ncRNAs / Piwi-interacting RNA clusters"
PIRC40	"ncRNAs / Piwi-interacting RNA clusters"
PIRC41	"ncRNAs / Piwi-interacting RNA clusters"
PIRC42	"ncRNAs / Piwi-interacting RNA clusters"
PIRC43	"ncRNAs / Piwi-interacting RNA clusters"
PIRC44	"ncRNAs / Piwi-interacting RNA clusters"
PIRC45	"ncRNAs / Piwi-interacting RNA clusters"
PIRC46	"ncRNAs / Piwi-interacting RNA clusters"
PIRC47	"ncRNAs / Piwi-interacting RNA clusters"
PIRC48	"ncRNAs / Piwi-interacting RNA clusters"
PIRC49	"ncRNAs / Piwi-interacting RNA clusters"
PIRC50	"ncRNAs / Piwi-interacting RNA clusters"
PIRC51	"ncRNAs / Piwi-interacting RNA clusters"
PIRC52	"ncRNAs / Piwi-interacting RNA clusters"
PIRC53	"ncRNAs / Piwi-interacting RNA clusters"
PIRC54	"ncRNAs / Piwi-interacting RNA clusters"
PIRC55	"ncRNAs / Piwi-interacting RNA clusters"
PIRC56	"ncRNAs / Piwi-interacting RNA clusters"
PIRC57	"ncRNAs / Piwi-interacting RNA clusters"
PIRC58	"ncRNAs / Piwi-interacting RNA clusters"
PIRC59	"ncRNAs / Piwi-interacting RNA clusters"
PIRC60	"ncRNAs / Piwi-interacting RNA clusters"
PIRC61	"ncRNAs / Piwi-interacting RNA clusters"
PIRC62	"ncRNAs / Piwi-interacting RNA clusters"
PIRC63	"ncRNAs / Piwi-interacting RNA clusters"
PIRC64	"ncRNAs / Piwi-interacting RNA clusters"
PIRC65	"ncRNAs / Piwi-interacting RNA clusters"
PIRC66	"ncRNAs / Piwi-interacting RNA clusters"
PIRC67	"ncRNAs / Piwi-interacting RNA clusters"
PIRC68	"ncRNAs / Piwi-interacting RNA clusters"
PIRC69	"ncRNAs / Piwi-interacting RNA clusters"
PIRC70	"ncRNAs / Piwi-interacting RNA clusters"
PIRC71	"ncRNAs / Piwi-interacting RNA clusters"
PIRC72	"ncRNAs / Piwi-interacting RNA clusters"
PIRC73	"ncRNAs / Piwi-interacting RNA clusters"
PIRC74	"ncRNAs / Piwi-interacting RNA clusters"
PIRC75	"ncRNAs / Piwi-interacting RNA clusters"
PIRC76	"ncRNAs / Piwi-interacting RNA clusters"
PIRC77	"ncRNAs / Piwi-interacting RNA clusters"
PIRC78	"ncRNAs / Piwi-interacting RNA clusters"
PIRC79	"ncRNAs / Piwi-interacting RNA clusters"
PIRC80	"ncRNAs / Piwi-interacting RNA clusters"
PIRC81	"ncRNAs / Piwi-interacting RNA clusters"
PIRC82	"ncRNAs / Piwi-interacting RNA clusters"
PIRC83	"ncRNAs / Piwi-interacting RNA clusters"
PIRC84	"ncRNAs / Piwi-interacting RNA clusters"
PIRC85	"ncRNAs / Piwi-interacting RNA clusters"
PIRC86	"ncRNAs / Piwi-interacting RNA clusters"
PIRC87	"ncRNAs / Piwi-interacting RNA clusters"
PIRC88	"ncRNAs / Piwi-interacting RNA clusters"
PIRC89	"ncRNAs / Piwi-interacting RNA clusters"
PIRC90	"ncRNAs / Piwi-interacting RNA clusters"
PIRC91	"ncRNAs / Piwi-interacting RNA clusters"
PIRC92	"ncRNAs / Piwi-interacting RNA clusters"
PIRC93	"ncRNAs / Piwi-interacting RNA clusters"
PIRC94	"ncRNAs / Piwi-interacting RNA clusters"
PIRC95	"ncRNAs / Piwi-interacting RNA clusters"
PIRC96	"ncRNAs / Piwi-interacting RNA clusters"
PIRC97	"ncRNAs / Piwi-interacting RNA clusters"
PIRC98	"ncRNAs / Piwi-interacting RNA clusters"
PIRC99	"ncRNAs / Piwi-interacting RNA clusters"
PIRC100	"ncRNAs / Piwi-interacting RNA clusters"
PIRC101	"ncRNAs / Piwi-interacting RNA clusters"
PIRC102	"ncRNAs / Piwi-interacting RNA clusters"
PIRC103	"ncRNAs / Piwi-interacting RNA clusters"
PIRC104	"ncRNAs / Piwi-interacting RNA clusters"
PIRC105	"ncRNAs / Piwi-interacting RNA clusters"
PIRC106	"ncRNAs / Piwi-interacting RNA clusters"
PIRC107	"ncRNAs / Piwi-interacting RNA clusters"
PIRC108	"ncRNAs / Piwi-interacting RNA clusters"
PIRC109	"ncRNAs / Piwi-interacting RNA clusters"
PIRC110	"ncRNAs / Piwi-interacting RNA clusters"
PIRC111	"ncRNAs / Piwi-interacting RNA clusters"
PIRC112	"ncRNAs / Piwi-interacting RNA clusters"
PIRC113	"ncRNAs / Piwi-interacting RNA clusters"
PIRC114	"ncRNAs / Piwi-interacting RNA clusters"
PISRT1	"ncRNAs / Long non-coding RNAs"
PITX1	"Homeoboxes / PRD class"
PITX2	"Homeoboxes / PRD class"
PITX3	"Homeoboxes / PRD class"
PJA1	"RING-type zinc fingers"
PJA2	"RING-type zinc fingers"
PKD1	"Voltage-gated ion channels / Transient receptor potential cation channels", "Voltage-gated ion channels / Polycystins"
PKD2	"Voltage-gated ion channels / Transient receptor potential cation channels", "Voltage-gated ion channels / Polycystins"
PKD2L1	"Voltage-gated ion channels / Transient receptor potential cation channels", "Voltage-gated ion channels / Polycystins"
PKD2L2	"Voltage-gated ion channels / Transient receptor potential cation channels", "Voltage-gated ion channels / Polycystins"
PKNOX1	"Homeboxes / TALE class"
PKNOX2	"Homeboxes / TALE class"
PLA2G6	"Patatin-like phospholipase domain containing", "Parkinson disease"
PLA2R1	"C-type lectin domain containing"
PLAC2	"ncRNAs / Long non-coding RNAs"
PLAG1	"Zinc fingers, C2H2-type"
PLAGL2	"Zinc fingers, C2H2-type"
PLAUR	"CD molecules"
PLCB1-IT1	"ncRNAs / Long non-coding RNAs"
PLCB2-AS1	"ncRNAs / Long non-coding RNAs"
PLCH1-AS1	"ncRNAs / Long non-coding RNAs"
PLCH1-AS2	"ncRNAs / Long non-coding RNAs"
PLCL2-AS1	"ncRNAs / Long non-coding RNAs"
PLCXD1	"Pseudoautosomal regions / PAR1"
PLCXD2-AS1	"ncRNAs / Long non-coding RNAs"
PLEKHF1	"Zinc fingers, FYVE domain containing"
PLEKHF2	"Zinc fingers, FYVE domain containing"
PLIN1	"Perilipins"
PLIN2	"Perilipins"
PLIN3	"Perilipins"
PLIN4	"Perilipins"
PLIN5	"Perilipins"
PLS1-AS1	"ncRNAs / Long non-coding RNAs"
PLSCR5-AS1	"ncRNAs / Long non-coding RNAs"
PLTP	"BPI fold containing"
PLXNA1	"Plexins"
PLXNA2	"Plexins"
PLXNA3	"Plexins"
PLXNA4	"Plexins"
PLXNB1	"Plexins"
PLXNB2	"Plexins"
PLXNB3	"Plexins"
PLXNC1	"CD molecules", "Plexins"
PLXND1	"Plexins"
PML	"Tripartite motif containing / Tripartite motif containing", "RING-type zinc fingers"
PNMA1	"Paraneoplastic Ma antigens"
PNMA2	"Paraneoplastic Ma antigens"
PNMA3	"Paraneoplastic Ma antigens"
PNMA5	"Paraneoplastic Ma antigens"
PNMA6A	"Paraneoplastic Ma antigens"
PNMA6B	"Paraneoplastic Ma antigens"
PNMA6C	"Paraneoplastic Ma antigens"
PNMA6D	"Paraneoplastic Ma antigens"
PNMAL1	"Paraneoplastic Ma antigens"
PNMAL2	"Paraneoplastic Ma antigens"
PNPLA1	"Patatin-like phospholipase domain containing"
PNPLA2	"Patatin-like phospholipase domain containing"
PNPLA3	"Patatin-like phospholipase domain containing"
PNPLA4	"Patatin-like phospholipase domain containing"
PNPLA5	"Patatin-like phospholipase domain containing"
PNPLA6	"Patatin-like phospholipase domain containing"
PNPLA7	"Patatin-like phospholipase domain containing"
PNPLA8	"Patatin-like phospholipase domain containing"
POC1A	"WD repeat domain containing"
POC1B	"WD repeat domain containing"
PODN	"Proteoglycans / Extracellular Matrix : Small leucine-rich repeats"
POGK	"Zinc fingers, C2H2-type"
POM121	"Zinc fingers, C2H2-type"
POTEA	"POTE ankyrin domain containing"
POTEB	"POTE ankyrin domain containing"
POTEC	"POTE ankyrin domain containing"
POTED	"POTE ankyrin domain containing"
POTEE	"POTE ankyrin domain containing"
POTEF	"POTE ankyrin domain containing"
POTEG	"POTE ankyrin domain containing"
POTEH	"POTE ankyrin domain containing"
POTEH-AS1	"ncRNAs / Long non-coding RNAs"
POTEI	"POTE ankyrin domain containing"
POTEJ	"POTE ankyrin domain containing"
POTEKP	"POTE ankyrin domain containing"
POTEM	"POTE ankyrin domain containing"
POU1F1	"Homeoboxes / POU class"
POU2F1	"Homeoboxes / POU class"
POU2F2	"Homeoboxes / POU class"
POU2F3	"Homeoboxes / POU class"
POU3F1	"Homeoboxes / POU class"
POU3F2	"Homeoboxes / POU class"
POU3F3	"Homeoboxes / POU class"
POU3F4	"Homeoboxes / POU class"
POU4F1	"Homeoboxes / POU class"
POU4F1-AS1	"ncRNAs / Long non-coding RNAs"
POU4F2	"Homeoboxes / POU class"
POU4F3	"Homeoboxes / POU class"
POU5F1	"Homeoboxes / POU class"
POU5F1B	"Homeoboxes / POU class"
POU5F1P2	"Homeoboxes / POU class"
POU5F1P3	"Homeoboxes / POU class"
POU5F1P4	"Homeoboxes / POU class"
POU5F1P5	"Homeoboxes / POU class"
POU5F1P6	"Homeoboxes / POU class"
POU5F1P7	"Homeoboxes / POU class"
POU5F1P8	"Homeoboxes / POU class"
POU5F2	"Homeoboxes / POU class"
POU6F1	"Homeoboxes / POU class"
POU6F2	"Homeoboxes / POU class"
POU6F2-AS1	"ncRNAs / Long non-coding RNAs"
POU6F2-AS2	"ncRNAs / Long non-coding RNAs"
PPEF1	"Protein phosphatase catalytic subunits"
PPEF1-AS1	"ncRNAs / Long non-coding RNAs"
PPEF2	"Protein phosphatase catalytic subunits"
PPM1A	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1B	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1D	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1E	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1F	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1G	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1H	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1J	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1K	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1L	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1M	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPM1N	"Protein phosphatase, Mg2+/Mn2+ dependent"
PPP1CA	"Protein phosphatase catalytic subunits"
PPP1CB	"Protein phosphatase catalytic subunits"
PPP1CC	"Protein phosphatase catalytic subunits"
PPP1R1A	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R1AP1	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R1AP2	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R1B	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R1C	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2P1	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2P2	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2P3	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2P4	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2P5	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2P6	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2P7	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2P8	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R2P9	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R3A	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R3B	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R3C	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R3D	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R3E	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R3F	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R3G	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R7	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R8	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R8P1	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R9A	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R9B	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R10	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R10P1	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R11	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R11P1	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R11P2	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R12A	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R12B	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R12BP1	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R12BP2	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R12C	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R12CP	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R13B	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R14A	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R14B	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R14BP1	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R14BP2	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R14BP3	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R14BP4	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R14BP5	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R14C	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R14D	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R15A	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R15B	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R16A	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R16B	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R17	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R18	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R21	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R26	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R27	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R32	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R35	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R36	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R37	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP1R42	"Protein phosphatase 1, regulatory (inhibitor) subunits"
PPP2CA	"Protein phosphatase catalytic subunits"
PPP2CB	"Protein phosphatase catalytic subunits"
PPP2R1A	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R1B	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R2A	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R2B	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R2C	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R2D	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R3A	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R3B	"Pseudoautosomal regions / PAR1", "Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R3B-AS1	"Pseudoautosomal regions / PAR1", "ncRNAs / Long non-coding RNAs"
PPP2R3C	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R4	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R5A	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R5B	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R5C	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R5D	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP2R5E	"Protein phosphatase 2, regulatory (inhibitor) subunits"
PPP3CA	"Protein phosphatase catalytic subunits"
PPP3CB	"Protein phosphatase catalytic subunits"
PPP3CC	"Protein phosphatase catalytic subunits"
PPP3R1	"Protein phosphatase 3, regulatory (inhibitor) subunits"
PPP3R2	"Protein phosphatase 3, regulatory (inhibitor) subunits"
PPP4C	"Protein phosphatase catalytic subunits"
PPP4R1	"Protein phosphatase 4, regulatory (inhibitor) subunits"
PPP4R2	"Protein phosphatase 4, regulatory (inhibitor) subunits"
PPP4R4	"Protein phosphatase 4, regulatory (inhibitor) subunits"
PPP5C	"Protein phosphatase catalytic subunits"
PPP6C	"Protein phosphatase catalytic subunits"
PPP6R1	"Protein phosphatase 6, regulatory (inhibitor) subunits"
