gene	disease
LEP	OBESITY 
LEPRE1	OSTEOGENESIS IMPERFECTA, TYPE VIII 
LEPREL1	MYOPIA, HIGH, WITH CATARACT AND VITREORETINAL DEGENERATION 
LFNG	SPONDYLOCOSTAL DYSOSTOSIS 3, AUTOSOMAL RECESSIVE 
LGALS2	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO 
LGI1	EPILEPSY, FAMILIAL TEMPORAL LOBE, 1 
LGI1	GLIOMA SUSCEPTIBILITY 1 
LGR4	SCHIZOPHRENIA 
LHCGR	LEYDIG CELL HYPOPLASIA, TYPE I 
LHCGR	PRECOCIOUS PUBERTY, MALE-LIMITED 
LHFPL5	DEAFNESS, AUTOSOMAL RECESSIVE 67 
LHX3	PITUITARY HORMONE DEFICIENCY, COMBINED, 2 
LHX3	PITUITARY HORMONE DEFICIENCY, COMBINED, 3 
LHX4	PITUITARY HORMONE DEFICIENCY, COMBINED, 4 
LIFR	STUVE-WIEDEMANN SYNDROME 
LIG4	LIG4 SYNDROME 
LIG4	MYELOMA, MULTIPLE 
LIG4	OMENN SYNDROME 
LIG4	SEVERE COMBINED IMMUNODEFICIENCY WITH SENSITIVITY TO IONIZING RADIATION 
LIMK1	WILLIAMS-BEUREN SYNDROME 
LIPA	LYSOSOMAL ACID LIPASE DEFICIENCY 
LIPC	DIABETES MELLITUS, NONINSULIN-DEPENDENT 
LIPC	HEPATIC LIPASE DEFICIENCY 
LIPC	HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 
LIPH	HYPOTRICHOSIS 7 
LIPI	HYPERTRIGLYCERIDEMIA, FAMILIAL 
LIPN	ICHTHYOSIS, LAMELLAR, 4 
LITAF	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1C 
LMAN1	FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF, 1 
LMBR1	ACHEIROPODY 
LMBR1	POLYDACTYLY, PREAXIAL II 
LMBR1	SYNDACTYLY, TYPE IV 
LMBRD1	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblF TYPE 
LMF1	LIPASE DEFICIENCY, COMBINED 
LMNA	CARDIOMYOPATHY, DILATED, 1A 
LMNA	CARDIOMYOPATHY, DILATED, WITH HYPERGONADOTROPIC HYPOGONADISM 
LMNA	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B1 
LMNA	EMERY-DREIFUSS MUSCULAR DYSTROPHY 2, AUTOSOMAL DOMINANT 
LMNA	HEART-HAND SYNDROME, SLOVENIAN TYPE 
LMNA	HUTCHINSON-GILFORD PROGERIA SYNDROME 
LMNA	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2 
LMNA	MANDIBULOACRAL DYSPLASIA WITH TYPE A LIPODYSTROPHY 
LMNA	MUSCULAR DYSTROPHY, CONGENITAL, LMNA-RELATED 
LMNA	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B 
LMNA	RESTRICTIVE DERMOPATHY, LETHAL 
LMNA	WERNER SYNDROME 
LMNB1	LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT 
LMNB2	LIPODYSTROPHY, PARTIAL, ACQUIRED, SUSCEPTIBILITY TO 
LMX1B	GLAUCOMA 1, OPEN ANGLE, A 
LMX1B	NAIL-PATELLA SYNDROME 
LOR	ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 
LOR	VOHWINKEL SYNDROME, VARIANT FORM 
LOX	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IA 
LOXHD1	DEAFNESS, AUTOSOMAL RECESSIVE 77 
LOXL1	EXFOLIATION SYNDROME 
LPAR6	HYPOTRICHOSIS 8 
LPIN1	MYOGLOBINURIA, ACUTE RECURRENT, AUTOSOMAL RECESSIVE 
LPIN2	MAJEED SYNDROME 
LPL	HYPERLIPIDEMIA, FAMILIAL COMBINED 
LPL	HYPERLIPOPROTEINEMIA, TYPE I 
LPL	HYPERLIPOPROTEINEMIA, TYPE V 
LPP	LEUKEMIA, ACUTE MYELOID 
LRAT	LEBER CONGENITAL AMAUROSIS 14 
LRP2	DONNAI-BARROW SYNDROME 
LRP4	CENANI-LENZ SYNDACTYLY SYNDROME 
LRP4	SCLEROSTEOSIS 2 
LRP5	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 1 
LRP5	EXUDATIVE VITREORETINOPATHY 1 
LRP5	EXUDATIVE VITREORETINOPATHY 4 
LRP5	HYPEROSTOSIS CORTICALIS GENERALISATA, BENIGN FORM OF WORTH, WITH TORUS 
LRP5	OSTEOPETROSIS, AUTOSOMAL DOMINANT 1 
LRP5	OSTEOPOROSIS 
LRP5	OSTEOPOROSIS-PSEUDOGLIOMA SYNDROME 
LRP5	VAN BUCHEM DISEASE, TYPE 2 
LRP6	CORONARY ARTERY DISEASE, AUTOSOMAL DOMINANT 2 
LRP8	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO 
LRPPRC	LEIGH SYNDROME, FRENCH CANADIAN TYPE 
LRRC8A	AGAMMAGLOBULINEMIA 5, AUTOSOMAL DOMINANT 
LRRK2	PARKINSON DISEASE 8, AUTOSOMAL DOMINANT 
LRRK2	PARKINSON DISEASE, LATE-ONSET 
LRSAM1	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2P 
LRTOMT	DEAFNESS, AUTOSOMAL RECESSIVE 63 
LTA	LEPROSY, SUSCEPTIBILITY TO, 4 
LTA	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO 
LTA	PSORIATIC ARTHRITIS, SUSCEPTIBILITY TO 
LTBP2	GLAUCOMA 3, PRIMARY CONGENITAL, D 
LTBP2	MICROSPHEROPHAKIA 
LTBP3	TOOTH AGENESIS, SELECTIVE, 6 
LTBP4	CUTIS LAXA WITH SEVERE PULMONARY, GASTROINTESTINAL, AND URINARY ABNORMALITIES 
LTF	SPECIFIC GRANULE DEFICIENCY 
LYST	CHEDIAK-HIGASHI SYNDROME 
LYZ	AMYLOIDOSIS, FAMILIAL VISCERAL 
LZTS1	ESOPHAGEAL CANCER 
MACROD2	KABUKI SYNDROME 1 
MAD1L1	PROSTATE CANCER 
MAF	CATARACT, PULVERULENT, JUVENILE-ONSET 
MAGT1	IMMUNODEFICIENCY, X-LINKED, WITH MAGNESIUM DEFECT, EPSTEIN-BARR VIRUS 
MAGT1	MENTAL RETARDATION, X-LINKED 95 
MAK	RETINITIS PIGMENTOSA 62 
MAMLD1	HYPOSPADIAS 1, X-LINKED 
MAMLD1	HYPOSPADIAS 2, X-LINKED 
MAN1B1	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 15 
MAN2B1	MANNOSIDOSIS, ALPHA B, LYSOSOMAL 
MANBA	MANNOSIDOSIS, BETA A, LYSOSOMAL 
MANF	PANCREATIC CANCER 
MAOA	BRUNNER SYNDROME 
MAP2K1	CARDIOFACIOCUTANEOUS SYNDROME 
MAP2K2	CARDIOFACIOCUTANEOUS SYNDROME 
MAP3K1	46,XY SEX REVERSAL 6 
MAP3K8	LUNG CANCER 
MAPK10	EPILEPTIC ENCEPHALOPATHY, LENNOX-GASTAUT TYPE 
MAPK8IP1	DIABETES MELLITUS, NONINSULIN-DEPENDENT 
MAPT	FRONTOTEMPORAL DEMENTIA 
MAPT	PARKINSON DISEASE, LATE-ONSET 
MAPT	PARKINSON-DEMENTIA SYNDROME 
MAPT	PICK DISEASE OF BRAIN 
MAPT	SUPRANUCLEAR PALSY, PROGRESSIVE, 1 
MARVELD2	DEAFNESS, AUTOSOMAL RECESSIVE 49 
MASP1	3MC SYNDROME 1 
MASP1	3MC SYNDROME 2 
MASP2	MASP2 DEFICIENCY 
MASTL	THROMBOCYTOPENIA 2 
MAT1A	METHIONINE ADENOSYLTRANSFERASE DEFICIENCY 
MATN3	EPIPHYSEAL DYSPLASIA, MULTIPLE, 5 
MATN3	OSTEOARTHRITIS SUSCEPTIBILITY 2 
MATN3	OSTEOARTHRITIS SUSCEPTIBILITY 3 
MATN3	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, MATRILIN-3 RELATED 
MATR3	MYOPATHY, DISTAL, 2 
MAX	PHEOCHROMOCYTOMA 
MBD5	MENTAL RETARDATION, AUTOSOMAL DOMINANT 1 
MBL2	HEPATITIS B VIRUS, SUSCEPTIBILITY TO 
MBL2	MANNOSE-BINDING PROTEIN DEFICIENCY 
MBNL1	MYOTONIC DYSTROPHY 1 
MBTPS2	ICHTHYOSIS FOLLICULARIS, ATRICHIA, AND PHOTOPHOBIA SYNDROME 
MBTPS2	KERATOSIS FOLLICULARIS SPINULOSA DECALVANS, X-LINKED 
MC1R	ALBINISM, OCULOCUTANEOUS, TYPE II 
MC1R	ENTEROPATHY,PROTEIN-LOSING
MC1R	INCREASED ANALGESIA FROM KAPPA-OPIOID RECEPTOR AGONIST, FEMALE-SPECIFIC 
MC1R	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 5 
MC1R	MELANOMA,CUTANEOUSMALIGNANT,SUSCEPTIBILITYTO,1
MC1R	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 2 
MC2R	GLUCOCORTICOID DEFICIENCY 1 
MC3R	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 9 
MC3R	MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO 
MC3R	OBESITY 
MC4R	OBESITY 
MCCC1	3-@METHYLCROTONYL-CoA CARBOXYLASE 1 DEFICIENCY 
MCCC2	3-@METHYLCROTONYL-CoA CARBOXYLASE 2 DEFICIENCY 
MCEE	METHYLMALONYL-CoA EPIMERASE DEFICIENCY 
MCF2L2	DIABETES MELLITUS, NONINSULIN-DEPENDENT 
MCFD2	FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF, 1 
MCFD2	FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF, 2 
MCM6	LACTOSE INTOLERANCE, ADULT TYPE 
MCM6	STATUREASAQUANTITATIVETRAIT
MCOLN1	MUCOLIPIDOSIS IV 
MCPH1	MICROCEPHALY 1, PRIMARY, AUTOSOMAL RECESSIVE 
MDM2	ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO 
ME2	EPILEPSY,IDIOPATHICGENERALIZED
ME2	OPIOIDDEPENDENCE,SUSCEPTIBILITYTO,1
MECP2	ANGELMAN SYNDROME 
MECP2	AUTISM, SUSCEPTIBILITY TO, X-LINKED 3 
MECP2	ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO MECP2 MUTATIONS 
MECP2	LUBS X-LINKED MENTAL RETARDATION SYNDROME 
MECP2	MENTAL RETARDATION, X-LINKED, SYNDROMIC 13 
MECP2	RETT SYNDROME 
MED12	LUJAN-FRYNS SYNDROME 
MED12	OPITZ-KAVEGGIA SYNDROME 
MED13L	TRANSPOSITION OF THE GREAT ARTERIES, DEXTRO-LOOPED 1 
MED17	MICROCEPHALY, POSTNATAL PROGRESSIVE, WITH SEIZURES AND BRAIN ATROPHY 
MED23	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 18 
MED25	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B2 
MEF2A	CORONARY ARTERY DISEASE, AUTOSOMAL DOMINANT, 1 
MEF2C	MENTAL RETARDATION, STEREOTYPIC MOVEMENTS, EPILEPSY, AND/OR CEREBRAL 
MEFV	FAMILIAL MEDITERRANEAN FEVER 
MEFV	FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL DOMINANT 
MEGF10	MYOPATHY, EARLY-ONSET, AREFLEXIA, RESPIRATORY DISTRESS, AND DYSPHAGIA 
MEIS1	RESTLESSLEGSSYNDROME,SUSCEPTIBILITYTO,7
MEN1	HYPERPARATHYROIDISM 1 
MEN1	MULTIPLE ENDOCRINE NEOPLASIA, TYPE I 
MERTK	RETINITIS PIGMENTOSA 
MERTK	RETINITIS PIGMENTOSA 38 
MESP2	SPONDYLOCOSTAL DYSOSTOSIS 2, AUTOSOMAL RECESSIVE 
MET	AUTISM,SUSCEPTIBILITYTO,9
MET	COLORECTAL CANCER 
MET	HEPATOCELLULAR CARCINOMA 
MET	RENAL CELL CARCINOMA, PAPILLARY, 1 
MEX3C	HYPERTENSION,ESSENTIAL,SUSCEPTIBILITYTO,8
MFAP4	SMITH-MAGENIS SYNDROME 
MFN2	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A2 
MFN2	HEREDITARY MOTOR AND SENSORY NEUROPATHY VI 
MFRP.1	MICROPHTHALMIA, ISOLATED 5 
MFRP.1	NANOPHTHALMOS 2 
MFSD8	CEROID LIPOFUSCINOSIS, NEURONAL, 7 
MGAT2	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIa 
MGP	KEUTEL SYNDROME 
MICA	PSORIASIS SUSCEPTIBILITY 1 
MICA	PSORIATIC ARTHRITIS, SUSCEPTIBILITY TO 
MICB	RHEUMATOID ARTHRITIS 
MID1	OPITZ GBBB SYNDROME, X-LINKED 
MIF	RHEUMATOID ARTHRITIS, SYSTEMIC JUVENILE 
MINPP1	THYROIDCARCINOMA,FOLLICULAR
MIP	CATARACT, AUTOSOMAL DOMINANT 
MIPOL1	LAURIN-SANDROWSYNDROME
MITF	ALBINISM, OCULAR, WITH SENSORINEURAL DEAFNESS 
MITF	TIETZ SYNDROME 
MITF	WAARDENBURG SYNDROME, TYPE 2A 
MKKS	BARDET-BIEDL SYNDROME 
MKKS	MCKUSICK-KAUFMAN SYNDROME 
MKS1	BARDET-BIEDL SYNDROME 
MKS1	MECKEL SYNDROME, TYPE 1 
MLC1	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 1 
MLF1	LEUKEMIA, ACUTE MYELOID 
MLH1	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 2 
MLH1	ENDOMETRIAL CANCER 
MLH1	MISMATCH REPAIR CANCER SYNDROME 
MLH1	MUIR-TORRE SYNDROME 
MLH3	COLORECTAL CANCER 
MLH3	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 7 
MLH3	ENDOMETRIAL CANCER 
MLL2	KABUKI SYNDROME 1 
MLLT10	LEUKEMIA, ACUTE MYELOID 
MLPH	GRISCELLI SYNDROME, TYPE 3 
MLXIPL	WILLIAMS-BEUREN SYNDROME 
MLYCD	MALONYL-CoA DECARBOXYLASE DEFICIENCY 
MMAA	METHYLMALONIC ACIDURIA, cblA TYPE 
MMAB	METHYLMALONIC ACIDURIA, cblB TYPE 
MMACHC	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblC TYPE 
MMADHC	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblD TYPE 
MMD2	MIYOSHIMUSCULARDYSTROPHY2
MMP1	EPIDERMOLYSIS BULLOSA DYSTROPHICA, AUTOSOMAL RECESSIVE 
MMP1	PULMONARYDISEASE,CHRONICOBSTRUCTIVE
MMP13	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, MISSOURI TYPE 
MMP2	TORG-WINCHESTER SYNDROME 
MMP20	AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA1 
MMP20	AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA2 
MMP9	INTERVERTEBRAL DISC DISEASE 
MMP9	METAPHYSEAL ANADYSPLASIA 2 
MN1	MENINGIOMA, FAMILIAL 
MNX1	CURRARINO SYNDROME 
MOCS1	MOLYBDENUM COFACTOR DEFICIENCY 
MOCS2	MOLYBDENUM COFACTOR DEFICIENCY 
MOG	NARCOLEPSY 7 
MOGS	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIb 
MPDU1	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE If 
MPI	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ib 
MPL	AMEGAKARYOCYTIC THROMBOCYTOPENIA, CONGENITAL 
MPL	POLYCYTHEMIA VERA 
MPL	THROMBOCYTHEMIA, ESSENTIAL 
MPO	ALZHEIMER DISEASE 
MPO	MYELOPEROXIDASE DEFICIENCY 
MPST	MERCAPTOLACTATE-CYSTEINEDISULFIDURIA
MPV17	MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE) 
MPV17	MITOCHONDRIAL DNA DEPLETION SYNDROME 6 (HEPATOCEREBRAL TYPE) 
MPZ	ADIE PUPIL 
MPZ	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2I 
MPZ	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2J 
MPZ	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B 
MPZ	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE D 
MPZ	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS 
MPZ	NEUROPATHY, CONGENITAL HYPOMYELINATING 
MPZ	ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASIA 
MRAP	GLUCOCORTICOID DEFICIENCY 2 
MRE11A	ATAXIA-TELANGIECTASIA-LIKE DISORDER 
MRPS16	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 2 
MRPS22	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 5 
MS4A1	IMMUNODEFICIENCY, COMMON VARIABLE, 5 
MS4A2	IgE RESPONSIVENESS, ATOPIC 
MSH2	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 8 
MSH2	ENDOMETRIAL CANCER 
MSH2	GLIOMA SUSCEPTIBILITY 1 
MSH2	LYNCH SYNDROME I 
MSH2	MISMATCH REPAIR CANCER SYNDROME 
MSH2	MUIR-TORRE SYNDROME 
MSH2	NEUROFIBROMATOSIS, TYPE I 
MSH3	ENDOMETRIAL CANCER 
MSH6	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1 
MSH6	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 5 
MSH6	ENDOMETRIAL CANCER 
MSH6	MISMATCH REPAIR CANCER SYNDROME 
MSMB	PROSTATE CANCER, HEREDITARY, 13 
MSR1	BARRETT ESOPHAGUS 
MSR1	PROSTATE CANCER 
MSRB3	DEAFNESS, AUTOSOMAL RECESSIVE 74 
MSTN	MUSCLE HYPERTROPHY 
MSX1	OROFACIAL CLEFT 5 
MSX1	TOOTH AGENESIS, SELECTIVE, 1 
MSX1	WITKOP SYNDROME 
MSX2	CRANIOSYNOSTOSIS, TYPE 2 
MSX2	PARIETAL FORAMINA 
MSX2	PARIETAL FORAMINA WITH CLEIDOCRANIAL DYSPLASIA 
MT-ATP6	LEBER OPTIC ATROPHY 
MT-ATP6	LEIGH SYNDROME 
MT-ATP6	NEUROPATHY, ATAXIA, AND RETINITIS PIGMENTOSA 
MT-ATP6	STRIATONIGRAL DEGENERATION, INFANTILE, MITOCHONDRIAL 
MT-CO1	COLORECTAL CANCER 
MT-CO1	DEAFNESS, AMINOGLYCOSIDE-INDUCED 
MT-CO1	DEAFNESS, NONSYNDROMIC SENSORINEURAL, MITOCHONDRIAL 
MT-CO1	LEBER OPTIC ATROPHY 
MT-CO1	MITOCHONDRIAL COMPLEX IV DEFICIENCY 
MT-CO1	MYOGLOBINURIA, RECURRENT 
MT-CO2	MITOCHONDRIAL COMPLEX IV DEFICIENCY 
MT-CO3	LEBER OPTIC ATROPHY 
MT-CO3	MITOCHONDRIAL COMPLEX IV DEFICIENCY 
MT-CO3	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE 
MT-CO3	MYOGLOBINURIA, RECURRENT 
MT-CYB	CARDIOMYOPATHY, INFANTILE HISTIOCYTOID 
MT-CYB	LEBER OPTIC ATROPHY 
MT-CYB	MITOCHONDRIAL COMPLEX III DEFICIENCY 
MT-ND1	ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL 
MT-ND1	LEBER OPTIC ATROPHY 
MT-ND1	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE 
MT-ND2	ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL 
MT-ND2	LEBER OPTIC ATROPHY 
MT-ND2	MITOCHONDRIAL COMPLEX I DEFICIENCY 
MT-ND3	LEIGH SYNDROME 
MT-ND3	MITOCHONDRIAL COMPLEX I DEFICIENCY 
MT-ND4	DEAFNESS, AMINOGLYCOSIDE-INDUCED 
MT-ND4	LEBER OPTIC ATROPHY 
MT-ND4	LEBER OPTIC ATROPHY AND DYSTONIA 
MT-ND4	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE 
MT-ND4L	LEBER OPTIC ATROPHY 
MT-ND5	LEBER OPTIC ATROPHY 
MT-ND5	LEIGH SYNDROME 
MT-ND5	MITOCHONDRIAL COMPLEX I DEFICIENCY 
MT-ND5	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE 
MT-ND5	NEUROPATHY, ATAXIA, AND RETINITIS PIGMENTOSA 
MT-ND6	LEBER OPTIC ATROPHY 
MT-ND6	LEBER OPTIC ATROPHY AND DYSTONIA 
MT-ND6	LEIGH SYNDROME 
MT-ND6	MITOCHONDRIAL COMPLEX I DEFICIENCY 
MT-ND6	MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE 
MT-ND6	NEUROPATHY, ATAXIA, AND RETINITIS PIGMENTOSA 
MTHFD1	COLORECTAL CANCER 
MTHFD1	NEURAL TUBE DEFECTS, FOLATE-SENSITIVE 
MTHFR	HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE 
MTHFR	NEURAL TUBE DEFECTS, FOLATE-SENSITIVE 
MTHFR	OROFACIALCLEFT1
MTHFR	SCHIZOPHRENIA 
MTHFR	STROKE, ISCHEMIC 
MTHFR	THROMBOSIS, SUSCEPTIBILITY TO 
MTM1	MYOPATHY, CENTRONUCLEAR, X-LINKED 
MTMR14	MYOPATHY, CENTRONUCLEAR, 1 
MTMR2	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B1 
MTPAP	ATAXIA, SPASTIC, 4, AUTOSOMAL RECESSIVE 
MTR	DOWN SYNDROME 
MTR	METHYLCOBALAMIN DEFICIENCY, cblG TYPE 
MTR	NEURAL TUBE DEFECTS, FOLATE-SENSITIVE 
MTR	OROFACIALCLEFT1
MTRR	HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA DUE TO DEFECT IN COBALAMIN METABOLISM, 
MTRR	NEURAL TUBE DEFECTS, FOLATE-SENSITIVE 
MTTP	ABDOMINALOBESITY-METABOLICSYNDROME
MTTP	ABETALIPOPROTEINEMIA 
MTUS1	HEPATOCELLULAR CARCINOMA 
MUC3A	INFLAMMATORYBOWELDISEASE11
MUC5B	PANBRONCHIOLITIS,DIFFUSE
MUC5B	PULMONARY FIBROSIS, IDIOPATHIC 
MUC7	ASTHMA, SUSCEPTIBILITY TO 
MUSK	MYASTHENIC SYNDROME, CONGENITAL, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR 
MUT	METHYLMALONIC ACIDURIA DUE TO METHYLMALONYL-CoA MUTASE DEFICIENCY 
MUT	METHYLMALONYL-CoA EPIMERASE DEFICIENCY 
MUTYH	FAMILIAL ADENOMATOUS POLYPOSIS, 2 
MUTYH	GASTRIC CANCER 
MUTYH	GASTRIC CANCER, HEREDITARY DIFFUSE 
MUTYH	PILOMATRIXOMA 
MVK	HYPER-IgD SYNDROME 
MVK	MEVALONIC ACIDURIA 
MXI1	PROSTATE CANCER 
MYBPC1	ARTHROGRYPOSIS, DISTAL, TYPE 1B 
MYBPC3	CARDIOMYOPATHY, DILATED, 1A 
MYBPC3	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4 
MYC	BURKITT LYMPHOMA 
MYCN	FEINGOLD SYNDROME 1 
MYD88	MYD88 DEFICIENCY 
MYF6	MUSCULAR DYSTROPHY, BECKER TYPE 
MYF6	MUSCULAR DYSTROPHY, DUCHENNE TYPE 
MYF6	MYOPATHY, CENTRONUCLEAR, 1 
MYF6	MYOPATHY, CENTRONUCLEAR, 3 
MYH11	AORTIC ANEURYSM, FAMILIAL THORACIC 4 
MYH11	AORTICANEURYSM,FAMILIALTHORACIC1
MYH14	DEAFNESS, AUTOSOMAL DOMINANT 4 
MYH14	PERIPHERAL NEUROPATHY, MYOPATHY, HOARSENESS, AND HEARING LOSS 
MYH2	INCLUSION BODY MYOPATHY 3, AUTOSOMAL DOMINANT 
MYH3	ARTHROGRYPOSIS, DISTAL, TYPE 2A 
MYH3	ARTHROGRYPOSIS, DISTAL, TYPE 2B 
MYH6	ATRIAL SEPTAL DEFECT 3 
MYH6	CARDIOMYOPATHY, DILATED, 1EE 
MYH6	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1 
MYH6	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 14 
MYH6	SICK SINUS SYNDROME 3, SUSCEPTIBILITY TO 
MYH7	CARDIOMYOPATHY, DILATED, 1S 
MYH7	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1 
MYH7	MYOPATHY, DISTAL, 1 
MYH7	MYOPATHY, MYOSIN STORAGE 
MYH7	SCAPULOPERONEAL MYOPATHY, MYH7-RELATED 
MYH8	ARTHROGRYPOSIS, DISTAL, TYPE 7 
MYH8	CARNEY COMPLEX VARIANT 
MYH9	DEAFNESS, AUTOSOMAL DOMINANT 17 
MYH9	EPSTEIN SYNDROME 
MYH9	FECHTNER SYNDROME 
MYH9	MACROTHROMBOCYTOPENIA AND PROGRESSIVE SENSORINEURAL DEAFNESS 
MYH9	MAY-HEGGLIN ANOMALY 
MYH9	SEBASTIAN SYNDROME 
MYL2	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 10 
MYL3	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 8 
MYLK	AORTIC ANEURYSM, FAMILIAL THORACIC 7 
MYLK2	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1 
MYO15A	DEAFNESS, AUTOSOMAL RECESSIVE 3 
MYO1A	DEAFNESS, AUTOSOMAL DOMINANT 48 
MYO1E	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 6 
MYO3A	DEAFNESS, AUTOSOMAL RECESSIVE 30 
MYO5A	ELEJALDE DISEASE 
MYO5A	GRISCELLI SYNDROME, TYPE 1 
MYO5A	GRISCELLI SYNDROME, TYPE 3 
MYO5B	DIARRHEA 2, WITH MICROVILLUS ATROPHY 
MYO6	DEAFNESS, AUTOSOMAL DOMINANT 22 
MYO6	DEAFNESS, AUTOSOMAL RECESSIVE 37 
MYO7A	DEAFNESS, AUTOSOMAL DOMINANT 11 
MYO7A	DEAFNESS, AUTOSOMAL RECESSIVE 2 
MYO7A	USHER SYNDROME, TYPE I 
MYO9B	CELIAC DISEASE, SUSCEPTIBILITY TO, 4 
MYOC	GLAUCOMA 1, OPEN ANGLE, A 
MYOC	GLAUCOMA 3, PRIMARY CONGENITAL, A 
MYOT	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1A 
MYOT	MYOPATHY, MYOFIBRILLAR, 3 
MYOT	MYOPATHY, SPHEROID BODY 
MYOZ2	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 16 
NAA10	OGDEN SYNDROME 
NAGA	KANZAKI DISEASE 
NAGA	SCHINDLER DISEASE, TYPE I 
